Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S	low.quality	med.quality	high.quality.nayfach	high.quality.bowers	# contigs (>= 10000 bp)	# contigs (>= 50000 bp)	# contigs (>= 100000 bp)	# contigs (>= 250000 bp)	# contigs (>= 500000 bp)	# contigs (>= 1000000 bp)	# contigs (>= 2000000 bp)	# contigs (>= 3000000 bp)	Total length (>= 0 bp)	Total length (>= 10000 bp)	Total length (>= 50000 bp)	Total length (>= 100000 bp)	Total length (>= 250000 bp)	Total length (>= 500000 bp)	Total length (>= 1000000 bp)	Total length (>= 2000000 bp)	Total length (>= 3000000 bp)	# contigs	Total length	N75	L50	L75	# N's per 100 kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.
D03-NF-R1	0_sub	11.49	1) low quality	42.09	6.12	15.79	Oscillospiraceae	family	0.737	Oscillospiraceae bacterium	species	0.379	185206	1.72	4.58	24	316606	1682	37	3	1	1	TRUE	FALSE	FALSE	FALSE	18	8	5	2	0	0	0	0	1722578	1692180	1409909	1177550	620376	0	0	0	0	24	1722578	71951	4	7	0	o__Clostridiales (UID1212)	172	261	147	125	119	16	1	0	0
D03-NF-R1	20	73.11	2) medium quality	79.81	1.34	30	Streptococcus salivarius	species	0.734	Streptococcus salivarius CCHSS3	strain	0.506	93428	1.84	0.95	67	211892	1903	66	5	5	5	TRUE	TRUE	FALSE	FALSE	27	10	6	0	0	0	0	0	1835812	1663697	1197483	902873	0	0	0	0	0	67	1835812	31982	7	15	0	g__Streptococcus (UID684)	26	668	229	109	551	7	1	0	0
D03-NF-R1	21	83.42	2) medium quality	87.17	0.75	100	Bacteroidales	order	0.8	Barnesiella intestinihominis YIT 11860	strain	0.429	96007	2.97	1.92	81	226007	2412	53	3	3	3	TRUE	TRUE	FALSE	FALSE	47	18	10	0	0	0	0	0	2972482	2816418	1976748	1403497	0	0	0	0	0	81	2972482	41392	11	24	0	o__Bacteroidales (UID2617)	213	406	265	48	356	2	0	0	0
D03-NF-R1	23	82.21	2) medium quality	82.21	0	0	Oscillospiraceae bacterium	species	0.995	Oscillospiraceae bacterium	species	0.995	1001745	1.97	3	4	1001745	1872	45	2	2	3	TRUE	TRUE	FALSE	FALSE	3	3	3	3	2	1	0	0	1974350	1964628	1964628	1964628	1964628	1709610	1001745	0	0	4	1974350	707865	1	2	0	o__Clostridiales (UID1212)	172	263	149	32	231	0	0	0	0
D03-NF-R1	25	53.22	2) medium quality	61.07	1.57	66.67	Eubacteriales	order	0.939	Oscillospiraceae bacterium	species	0.648	39948	1.38	0.76	92	89959	1298	34	2	2	2	TRUE	TRUE	FALSE	FALSE	34	7	0	0	0	0	0	0	1377899	1163698	474604	0	0	0	0	0	0	92	1377899	15932	12	24	0	o__Clostridiales (UID1212)	172	263	149	79	181	3	0	0	0
D03-NF-R1	4	10.41	1) low quality	13.76	0.67	100	Eubacteriales	order	0.798	uncultured Clostridium sp.	species	0.464	33922	0.33	0.66	22	47929	328	9	0	0	0	TRUE	FALSE	FALSE	FALSE	8	0	0	0	0	0	0	0	332674	269583	0	0	0	0	0	0	0	22	332674	19478	4	7	0	o__Clostridiales (UID1212)	172	263	149	208	54	1	0	0	0
D03-NF-R1	52	55.3	2) medium quality	80.7	5.08	20.83	Clostridium	genus	0.73	Clostridium sp. TF06-15AC	species	0.529	69995	2.28	2.63	72	248000	2009	60	5	5	5	TRUE	TRUE	FALSE	FALSE	42	14	6	0	0	0	0	0	2280778	2092877	1389579	835249	0	0	0	0	0	72	2280778	29021	10	23	0	o__Clostridiales (UID1226)	155	278	158	56	202	18	2	0	0
D03-NF-R1	53	94.95	3) high quality Nayfach	98.1	0.63	0	Dialister	genus	0.785	Dialister sp.	species	0.526	958045	1.82	1.38	4	958045	1736	53	4	4	4	TRUE	TRUE	FALSE	TRUE	3	3	3	3	1	0	0	0	1822734	1818746	1818746	1818746	1818746	958045	0	0	0	4	1822734	472665	1	2	0	p__Firmicutes (UID1022)	100	295	158	3	291	1	0	0	0
D03-NF-R1	64_sub	51.88	2) medium quality	56.63	0.95	0	Blautia	genus	0.817	Blautia sp. CAG:52	species	0.416	127417	2.13	2.03	39	237762	1881	35	3	3	3	TRUE	TRUE	FALSE	FALSE	30	15	9	0	0	0	0	0	2127199	2090131	1733505	1304104	0	0	0	0	0	39	2127199	59983	7	13	0	o__Clostridiales (UID1226)	155	278	158	103	173	2	0	0	0
D03-NF-R1	68	62.34	2) medium quality	77.79	3.09	0	Eubacteriales	order	0.671	uncultured Ruminococcus sp.	species	0.278	191985	2.4	0.53	36	420003	2330	51	5	5	5	TRUE	TRUE	FALSE	FALSE	18	12	9	3	0	0	0	0	2399008	2339744	2211993	1955632	1031882	0	0	0	0	36	2399008	119960	4	8	0	c__Clostridia (UID1085)	35	420	196	84	326	10	0	0	0
D03-NF-R1	69	79.87	2) medium quality	83.22	0.67	100	Ruminococcus sp. CAG:330	species	0.908	Unclassified	Unclassified	0.561	140000	2.14	1.68	29	455906	1831	55	4	4	4	TRUE	TRUE	FALSE	FALSE	21	12	10	1	0	0	0	0	2137323	2089783	1879813	1690794	455906	0	0	0	0	29	2137323	101092	5	10	0	o__Clostridiales (UID1212)	172	263	149	38	224	1	0	0	0
