Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S	low.quality	med.quality	high.quality.nayfach	high.quality.bowers	# contigs (>= 10000 bp)	# contigs (>= 50000 bp)	# contigs (>= 100000 bp)	# contigs (>= 250000 bp)	# contigs (>= 500000 bp)	# contigs (>= 1000000 bp)	# contigs (>= 2000000 bp)	# contigs (>= 3000000 bp)	Total length (>= 0 bp)	Total length (>= 10000 bp)	Total length (>= 50000 bp)	Total length (>= 100000 bp)	Total length (>= 250000 bp)	Total length (>= 500000 bp)	Total length (>= 1000000 bp)	Total length (>= 2000000 bp)	Total length (>= 3000000 bp)	# contigs	Total length	N75	L50	L75	# N's per 100 kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.
D02-NF-R2	106_sub	88.78	3) high quality Nayfach	99.03	2.05	0	Roseburia intestinalis L1-82	strain	0.985	Roseburia intestinalis L1-82	strain	0.985	4205942	4.27	3.56	3	4205942	3987	76	6	6	2	TRUE	TRUE	FALSE	TRUE	3	1	1	1	1	1	1	1	4271046	4271046	4205942	4205942	4205942	4205942	4205942	4205942	4205942	3	4271046	4205942	1	1	0	f__Lachnospiraceae (UID1286)	57	420	207	2	409	9	0	0	0
D02-NF-R2	108	38.95	0) really bad	98	11.81	89.29	Proteobacteria	phylum	0.891	Sutterellaceae bacterium	species	0.502	124540	2.7	1.11	54	431910	2725	72	6	6	7	FALSE	FALSE	FALSE	FALSE	35	16	8	1	0	0	0	0	2703058	2624000	2139210	1513095	431910	0	0	0	0	54	2703058	72822	7	15	0	p__Proteobacteria (UID3887)	1487	255	158	5	222	28	0	0	0
D02-NF-R2	111_sub	37.49	2) medium quality	67.69	6.04	5.88	Eubacteriales	order	0.877	uncultured Eubacteriales bacterium	species	0.573	63972	2.12	1.18	64	127974	2247	57	2	3	3	TRUE	TRUE	FALSE	FALSE	41	19	3	0	0	0	0	0	2115895	2000883	1471343	372758	0	0	0	0	0	64	2115895	39238	12	22	0	o__Clostridiales (UID1212)	172	263	149	80	166	17	0	0	0
D02-NF-R2	115	38.78	1) low quality	38.78	0	0	Gemmiger formicilis	species	0.952	Gemmiger formicilis	species	0.952	1263039	1.69	3.47	6	1263039	1461	29	4	4	4	TRUE	FALSE	FALSE	FALSE	5	5	2	1	1	1	0	0	1688421	1687091	1687091	1439039	1263039	1263039	1263039	0	0	6	1688421	176000	1	2	0	o__Clostridiales (UID1212)	172	261	147	134	127	0	0	0	0
D02-NF-R2	120_sub	47.02	2) medium quality	51.22	0.84	0	Clostridiales bacterium UBA7739	species	0.977	Clostridiales bacterium UBA7739	species	0.977	1092700	1.12	2.65	4	1092700	1062	29	1	1	1	TRUE	TRUE	FALSE	FALSE	2	1	1	1	1	1	0	0	1118674	1114682	1092700	1092700	1092700	1092700	1092700	0	0	4	1118674	1092700	1	1	0	o__Clostridiales (UID1212)	172	263	149	111	150	2	0	0	0
D02-NF-R2	121_sub	35.08	0) really bad	97.33	12.45	62.37	Bacteroides caccae	species	0.77	Bacteroides caccae	species	0.486	868601	6.62	2.17	50	1273254	5503	74	6	6	5	FALSE	FALSE	FALSE	FALSE	37	16	11	8	4	2	0	0	6622703	6556785	6054301	5685623	5138440	3942917	2461525	0	0	50	6622703	261256	3	8	0	g__Bacteroides (UID2691)	33	839	309	24	728	84	3	0	0
D02-NF-R2	124	98.66	3) high quality Nayfach	98.66	0	0	Clostridium sp. OM05-6BH	species	0.994	Clostridium sp. OM05-6BH	species	0.994	3017841	3.04	2.03	2	3017841	2648	51	4	4	4	TRUE	TRUE	FALSE	TRUE	2	1	1	1	1	1	1	1	3035406	3035406	3017841	3017841	3017841	3017841	3017841	3017841	3017841	2	3035406	3017841	1	1	0	o__Clostridiales (UID1212)	172	263	149	3	260	0	0	0	0
D02-NF-R2	127	63.48	2) medium quality	63.48	0	0	Monoglobus pectinilyticus	species	0.709	Monoglobus pectinilyticus	species	0.709	67978	2.32	0.26	102	211298	2504	39	3	3	3	TRUE	TRUE	FALSE	FALSE	36	14	7	0	0	0	0	0	2322613	2121471	1403655	950988	0	0	0	0	0	102	2322613	41978	10	22	0	o__Clostridiales (UID1212)	172	263	149	90	173	0	0	0	0
D02-NF-R2	128	71.71	2) medium quality	71.71	0	0	Eubacterium	genus	0.906	Eubacterium sp. CAG:156	species	0.474	73981	2.15	0.64	63	191997	2338	51	2	3	0	TRUE	TRUE	FALSE	FALSE	34	19	3	0	0	0	0	0	2152572	2048016	1637344	427919	0	0	0	0	0	63	2152572	50183	11	19	0	o__Clostridiales (UID1212)	172	263	149	64	199	0	0	0	0
D02-NF-R2	17_sub	77.64	2) medium quality	80.19	0.51	0	Parabacteroides merdae CL03T12C32	strain	0.75	Parabacteroides merdae CL03T12C32	strain	0.75	222000	3.72	1.02	40	582000	3183	67	4	4	4	TRUE	TRUE	FALSE	FALSE	31	20	12	5	1	0	0	0	3716035	3674934	3378193	2820296	1749531	582000	0	0	0	40	3716035	100007	6	12	0	o__Bacteroidales (UID2621)	198	427	260	73	352	2	0	0	0
D02-NF-R2	2	83.82	2) medium quality	84.82	0.2	0	Collinsella aerofaciens	species	0.75	Collinsella aerofaciens	species	0.75	62473	2.13	0.55	102	124738	2085	54	6	5	5	TRUE	TRUE	FALSE	FALSE	44	12	5	0	0	0	0	0	2126998	1904567	1121234	562567	0	0	0	0	0	102	2126998	26414	12	25	0	p__Actinobacteria (UID2112)	31	211	124	42	168	1	0	0	0
D02-NF-R2	21	85.22	2) medium quality	85.22	0	0	Oscillospiraceae bacterium	species	0.787	Oscillospiraceae bacterium	species	0.787	144435	2.49	0.8	47	294337	2555	50	2	2	2	TRUE	TRUE	FALSE	FALSE	31	17	7	1	0	0	0	0	2494071	2425215	2062263	1376942	294337	0	0	0	0	47	2494071	61981	6	14	0	o__Clostridiales (UID1212)	172	263	149	39	224	0	0	0	0
D02-NF-R2	37_sub	-235.12	0) really bad	90.88	65.2	12.99	Eubacteriales	order	0.819	Clostridium phoceensis	species	0.436	45889	5.25	0.66	207	161912	6245	67	2	1	1	FALSE	FALSE	FALSE	FALSE	126	28	6	0	0	0	0	0	5248267	4847656	2274379	777809	0	0	0	0	0	207	5248267	24000	36	74	0	k__Bacteria (UID203)	5449	104	58	7	45	41	10	1	0
