Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S	low.quality	med.quality	high.quality.nayfach	high.quality.bowers	# contigs (>= 10000 bp)	# contigs (>= 50000 bp)	# contigs (>= 100000 bp)	# contigs (>= 250000 bp)	# contigs (>= 500000 bp)	# contigs (>= 1000000 bp)	# contigs (>= 2000000 bp)	# contigs (>= 3000000 bp)	Total length (>= 0 bp)	Total length (>= 10000 bp)	Total length (>= 50000 bp)	Total length (>= 100000 bp)	Total length (>= 250000 bp)	Total length (>= 500000 bp)	Total length (>= 1000000 bp)	Total length (>= 2000000 bp)	Total length (>= 3000000 bp)	# contigs	Total length	N75	L50	L75	# N's per 100 kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.
D07-NF-R1	101	77.52	3) high quality Nayfach	90.42	2.58	11.11	Firmicutes	phylum	0.661	uncultured Clostridium sp.	species	0.487	49974	2.61	0.3	100	181368	2366	54	4	4	4	TRUE	TRUE	FALSE	TRUE	48	13	5	0	0	0	0	0	2611244	2399444	1294912	697995	0	0	0	0	0	100	2611244	35217	14	29	0	o__Clostridiales (UID1212)	172	263	149	27	229	6	1	0	0
D07-NF-R1	103_sub	78.94	2) medium quality	87.59	1.73	42.86	Bacteroides sp. CAG:144	species	0.985	Bacteroides sp. CAG:144	species	0.985	28282	2.15	0.71	164	106008	1840	36	1	1	1	TRUE	TRUE	FALSE	FALSE	61	8	1	0	0	0	0	0	2146517	1742124	512801	106008	0	0	0	0	0	164	2146517	13997	23	50	0	o__Bacteroidales (UID2617)	213	406	265	60	339	7	0	0	0
D07-NF-R1	105	82.23	2) medium quality	85.23	0.6	0	Clostridiales bacterium	species	0.844	Clostridiales bacterium	species	0.844	72002	1.92	2.99	57	164076	1768	47	1	2	2	TRUE	TRUE	FALSE	FALSE	36	14	2	0	0	0	0	0	1916270	1812889	1204542	267596	0	0	0	0	0	57	1916270	38007	11	20	0	o__Clostridiales (UID1212)	172	263	149	29	230	4	0	0	0
D07-NF-R1	21	5.15	1) low quality	49.45	8.86	81.25	Clostridium	genus	0.764	Clostridium sp. AM51-4	species	0.286	17998	2.42	0.79	180	53331	2670	35	1	2	2	TRUE	FALSE	FALSE	FALSE	95	1	0	0	0	0	0	0	2420018	1963442	53331	0	0	0	0	0	0	180	2420018	12067	41	82	0	o__Clostridiales (UID1226)	155	278	158	129	133	16	0	0	0
D07-NF-R1	23	70.57	2) medium quality	92.72	4.43	62.5	uncultured Lachnospira sp.	species	0.801	uncultured Lachnospira sp.	species	0.801	50001	3.63	1.61	117	247824	3129	57	7	8	0	TRUE	TRUE	FALSE	FALSE	82	19	6	0	0	0	0	0	3630773	3433866	1854794	960875	0	0	0	0	0	117	3630773	26963	19	42	0	o__Clostridiales (UID1226)	155	278	158	19	253	5	1	0	0
D07-NF-R1	31	5.77	0) really bad	85.37	15.92	87.06	Streptococcus thermophilus	species	0.708	Streptococcus thermophilus 1F8CT	strain	0.656	26926	1.96	1.28	110	89191	2120	54	5	4	4	FALSE	FALSE	FALSE	FALSE	64	7	0	0	0	0	0	0	1955658	1709848	419226	0	0	0	0	0	0	110	1955658	15752	23	45	0	g__Streptococcus (UID684)	26	668	229	100	483	85	0	0	0
D07-NF-R1	32	96.4	3) high quality Nayfach	99.4	0.6	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.9	Unclassified	Unclassified	0.9	765525	2.01	3.07	7	805490	1910	55	5	5	5	TRUE	TRUE	FALSE	TRUE	7	5	4	2	2	0	0	0	2011779	2011779	1969681	1873834	1571015	1571015	0	0	0	7	2011779	765525	2	2	0	o__Selenomonadales (UID1024)	64	334	167	1	332	1	0	0	0
D07-NF-R1	34_sub	-67.78	0) really bad	79.87	29.53	1.61	Firmicutes	phylum	0.981	Firmicutes bacterium CAG:114	species	0.564	28145	2.57	0.77	167	167054	2363	43	1	0	1	FALSE	FALSE	FALSE	FALSE	78	6	1	0	0	0	0	0	2569725	2121860	550300	167054	0	0	0	0	0	167	2569725	13254	27	62	0	o__Clostridiales (UID1212)	172	257	149	44	153	59	1	0	0
D07-NF-R1	36_sub	-332.07	0) really bad	91.23	84.66	45.35	Eubacteriales	order	0.71	uncultured Ruminococcus sp.	species	0.307	32000	7.21	0.66	394	147677	7085	113	6	6	6	FALSE	FALSE	FALSE	FALSE	207	26	3	0	0	0	0	0	7206857	6158577	2020137	377316	0	0	0	0	0	394	7206857	15516	66	147	0	k__Bacteria (UID203)	5449	103	57	5	62	26	6	2	2
D07-NF-R1	40	65.11	2) medium quality	99.11	6.8	76.92	Faecalibacterium prausnitzii SL3/3	strain	0.716	Faecalibacterium prausnitzii SL3/3	strain	0.716	247230	2.66	6.39	20	550003	2446	59	6	5	5	TRUE	TRUE	FALSE	FALSE	16	12	8	3	1	0	0	0	2658982	2639733	2520729	2220340	1328343	550003	0	0	0	20	2658982	124618	4	7	0	o__Clostridiales (UID1212)	172	261	147	11	237	13	0	0	0
